,Masthead / stub information,Filipino,Chinese,Spanish,,,
,OFFICIAL BALLOT,,正式選票,BOLETA OFICIAL,,,
,Consolidated Presidential Primary Election,,聯合總統初選,Elecciones Presidenciales Primarias Consolidadas,,,
,Consolidated Statewide Direct Primary Election,"Pambuong-estadong Tuwirang Primaryang Halalan (needs ""Consolidated"")",全州聯合直接初選,Elecciones Estatales Primarias Directas Consolidadas,,,
,Consolidated General Election,,聯合普選,Elecciones Generales Consolidadas,,,
,Statewide Special Election,,全州特別選舉,Elecciones Estatales Especiales,,,
,Municipal Election,,市政選舉,Elecciones Municipales,,,
,City and County of San Francisco,,三藩市市縣,Ciudad y Condado de San Francisco,,,
,(fill in date),,(fill in date),(fill in date),,,
,,,,,,,
,Party card information,,,,,,
,AMERICAN INDEPENDENT PARTY BALLOT,,美國獨立黨選票,BOLETA DEL PARTIDO AMERICANO INDEPENDIENTE,,,
,DEMOCRATIC PARTY BALLOT,,民主黨選票,BOLETA DEL PARTIDO DEMÓCRATA,,,
,GREEN PARTY BALLOT,,綠黨選票,BOLETA DEL PARTIDO VERDE,,,
,LIBERTARIAN PARTY BALLOT,,自由論黨選票,BOLETA DEL PARTIDO LIBERTARIO,,,
,PEACE AND FREEDOM PARTY BALLOT,,和平自由黨選票,BOLETA DEL PARTIDO PAZ Y LIBERTAD,,,
,REPUBLICAN PARTY BALLOT,,共和黨選票,BOLETA DEL PARTIDO REPUBLICANO,,,
,(NPP) DEMOCRATIC PARTY BALLOT,,民主黨選票,BOLETA DEL PARTIDO DEMÓCRATA,,,
,(NPP) AMERICAN INDEPENDENT PARTY BALLOT,,美國獨立黨選票,BOLETA DEL PARTIDO AMERICANO INDEPENDIENTE,,,
,NONPARTISAN BALLOT,,無黨派選票,BOLETA NO PARTIDARIA,partidiario for consistency with SOS (note for Spanish),,
,,,,,,,
,,,,,,,
,Voter Instructions (General):,,,,,,
,Remove this voter stub,,撕下此部分作為選民存根,Desprenda este talón para el elector,,,
,"INSTRUCTIONS TO VOTERS: Complete the arrow pointing to your choice, as shown in the picture. If you make a mistake, you may request a new ballot. To vote for a qualified write-in candidate who is not listed on the ballot, write the person's name on the blank line at the end of the candidate list and complete the arrow.
",,選民指南：將指向您的選擇的箭頭和箭尾劃線連接起來，如圖所示。如果填寫錯誤，您可以要求一份新的選票。如果想要投選某個未列在選票上的合格補寫候選人，在候選人名單末提供的空位上填寫此人的姓名並將箭頭和箭尾劃線連接起來。,"INSTRUCCIONES PARA LOS ELECTORES: Complete la flecha de manera que apunte hacia su selección, tal como se indica en la imagen. Si comete algún error, puede pedir otra boleta. Para votar por un candidato calificado no listado cuyo nombre no aparezca en la boleta, escriba el nombre de la persona en el espacio en blanco al final de la lista de candidatos y complete la flecha.",,,
