,Required Contest titles,Filipino,Filipino Short Name for Edge review (24 characters max),English Short Name for Edge review (24 characters max),Chinese,Spanish,Spanish Short Name for Edge review (24 characters max),Vote-for #,
,PARTY-NOMINATED OFFICES,,, ,政黨提名職位,CARGOS NOMINADOS POR LOS PARTIDOS,,,
,,,,,,,,,
,FEDERAL,,,,聯邦,FEDERAL,,,
,,,,,,,,,
,PRESIDENT AND VICE PRESIDENT,Presidente at Bise Presidente,,PRESIDENT & VICE PRES.,總統和副總統,PRESIDENTE Y VICEPRESIDENTE,PRESIDENTE Y VICEPRES.,1,
,Vote for One Party,,,,選一黨,Vote por un partido,,,
,,,,,,,,,
,PRESIDENT OF THE UNITED STATES,,,U.S. PRESIDENT,美國總統,PRESIDENTE DE ESTADOS UNIDOS,PRESIDENTE DE EE.UU.,1,
,Presidential Preference,,,,選擇總統候選人,Preferencia por un candidato presidencial,,,
,,,,,,,,,
,VOTER-NOMINATED OFFICES,,,,選民提名職位,CARGOS NOMINADOS POR LOS ELECTORES,,,
,STATE,,,,州,ESTADO,,,
,GOVERNOR,Gobernador,,GOVERNOR,州長,GOBERNADOR,GOBERNADOR,1,
,Party Preference:,,,,政黨傾向：,Preferencia por partido:,,,
,Vote for One,,,,選一名,Vote por uno,,,
,,,,,,,,,
,LIEUTENANT GOVERNOR,Tenyente Gobernador,,LIEUTENANT GOVERNOR,副州長,VICEGOBERNADOR,VICEGOBERNADOR,1,
,Party Preference:,,,,政黨傾向：,Preferencia por partido:,,,
,Vote for One,,,,選一名,Vote por uno,,,
,,,,,,,,,
,SECRETARY OF STATE,Kalihim ng Estado,,SECRETARY OF STATE,州務卿,SECRETARIO DE ESTADO,SECRETARIO DE ESTADO ,1,
,Party Preference:,,,,政黨傾向：,Preferencia por partido:,,,
,Vote for One,,,,選一名,Vote por uno,,,
,,,,,,,,,
,CONTROLLER,Kontroler,,CONTROLLER,主計長,CONTRALOR,CONTRALOR,1,
,Party Preference:,,,,政黨傾向：,Preferencia por partido:,,,
,Vote for One,,,,選一名,Vote por uno,,,
,,,,,,,,,
,TREASURER,Ingat-yaman,,TREASURER,財政部長,TESORERO,TESORERO,1,chinese updated 3/24/2014
,Party Preference:,,,,政黨傾向：,Preferencia por partido:,,,
,Vote for One,,,,選一名,Vote por uno,,,
,,,,,,,,,
